[     337ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3003/node_modules/.vite/deps/react-dom_client.js?v=b3577b4d:20102
[     459ms] [WARNING] Sentry DSN not configured; error logging disabled @ http://localhost:3003/services/sentry.ts:5
[ 1493495ms] [LOG] [vite] server connection lost. Polling for restart... @ http://localhost:3003/@vite/client:963
[ 1493516ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1494519ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1495523ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1496543ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1497554ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1498562ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1499576ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1500602ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1501614ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1502641ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1503743ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1504982ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1506309ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1508076ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1511261ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1515745ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
